n,value,time_taken
659,1.46e137,0.0
660,2.36e137,0.0
661,3.82e137,0.0
662,6.19e137,0.0
663,1e138,0.0
664,1.62e138,0.0
665,2.62e138,0.0
666,4.24e138,0.0
667,6.86e138,0.0
668,1.11e139,0.0
669,1.8e139,0.0
670,2.91e139,0.0
671,4.7e139,0.0
672,7.61e139,0.0
673,1.23e140,0.0
674,1.99e140,0.0
675,3.22e140,0.0
676,5.21e140,0.0
677,8.44e140,0.0
678,1.37e141,0.0
679,2.21e141,0.0
680,3.57e141,0.0
681,5.78e141,0.0
682,9.36e141,0.0
683,1.51e142,0.0
684,2.45e142,0.0
685,3.96e142,0.0
686,6.41e142,0.0
687,1.04e143,0.0
688,1.68e143,0.0
689,2.72e143,0.0
690,4.4e143,0.0
691,7.11e143,0.0
692,1.15e144,0.0
693,1.86e144,0.0
694,3.01e144,0.0
695,4.87e144,0.0
696,7.89e144,0.0010139942169189453
697,1.28e145,0.0
698,2.06e145,0.0
699,3.34e145,0.0
700,5.41e145,0.0
701,8.75e145,0.0
702,1.42e146,0.0
703,2.29e146,0.0
704,3.71e146,0.0
705,6e146,0.0
706,9.7e146,0.0
707,1.57e147,0.0
708,2.54e147,0.0
709,4.11e147,0.0
710,6.65e147,0.0
711,1.08e148,0.0
712,1.74e148,0.0
713,2.82e148,0.0005524158477783203
714,4.56e148,0.0003676414489746094
715,7.37e148,0.0
716,1.19e149,0.0
717,1.93e149,0.0
718,3.12e149,0.0
719,5.05e149,0.0
720,8.18e149,0.0
721,1.32e150,0.0
722,2.14e150,0.0
723,3.46e150,0.0
724,5.61e150,0.0
725,9.07e150,0.0
726,1.47e151,0.0
727,2.37e151,0.0
728,3.84e151,0.0
729,6.22e151,0.0
730,1.01e152,0.0
731,1.63e152,0.0
732,2.63e152,0.0
733,4.26e152,0.0
734,6.89e152,0.0
735,1.12e153,0.0
736,1.8e153,0.0
737,2.92e153,0.0
738,4.73e153,0.0
739,7.65e153,0.0
740,1.24e154,0.0
741,2e154,0.0
742,3.24e154,0.0
743,5.24e154,0.0
744,8.48e154,0.0
745,1.37e155,0.0
746,2.22e155,0.0
747,3.59e155,0.0
748,5.81e155,0.0
749,9.4e155,0.0
750,1.52e156,0.0
751,2.46e156,0.0
752,3.98e156,0.0010068416595458984
753,6.44e156,0.0
754,1.04e157,0.0
755,1.69e157,0.0
756,2.73e157,0.0
757,4.42e157,0.0
758,7.15e157,0.0
759,1.16e158,0.0
760,1.87e158,0.0
761,3.03e158,0.0
762,4.9e158,0.0
763,7.93e158,0.0
764,1.28e159,0.0005123615264892578
765,2.08e159,0.0
766,3.36e159,0.0
767,5.43e159,0.0
768,8.79e159,0.0
769,1.42e160,0.0
770,2.3e160,0.0
771,3.72e160,0.0
772,6.03e160,0.0
773,9.75e160,0.0
774,1.58e161,0.0
775,2.55e161,0.0
776,4.13e161,0.0
777,6.68e161,0.0
778,1.08e162,0.0
779,1.75e162,0.0
780,2.83e162,0.0
781,4.58e162,0.0
782,7.41e162,0.0
783,1.2e163,0.0
784,1.94e163,0.0
785,3.14e163,0.0
786,5.08e163,0.0
787,8.22e163,0.0
788,1.33e164,0.0
789,2.15e164,0.0
790,3.48e164,0.0
791,5.63e164,0.0
792,9.11e164,0.0
793,1.47e165,0.0
794,2.39e165,0.0
795,3.86e165,0.0
796,6.25e165,0.0
797,1.01e166,0.0
798,1.64e166,0.0
799,2.65e166,0.0
800,4.28e166,0.0
801,6.93e166,0.0
802,1.12e167,0.0
803,1.81e167,0.0
804,2.93e167,0.0
805,4.75e167,0.0
806,7.68e167,0.0
807,1.24e168,0.001280069351196289
808,2.01e168,0.0
809,3.25e168,0.0
810,5.27e168,0.0
811,8.52e168,0.0
812,1.38e169,0.0
813,2.23e169,0.0
814,3.61e169,0.0
815,5.84e169,0.0
816,9.45e169,0.0
817,1.53e170,0.0
818,2.47e170,0.0
819,4e170,0.0
820,6.48e170,0.0
821,1.05e171,0.0
822,1.7e171,0.0
823,2.74e171,0.0
824,4.44e171,0.0
825,7.18e171,0.0
826,1.16e172,0.0
827,1.88e172,0.0
828,3.04e172,0.0
829,4.92e172,0.0
830,7.97e172,0.0
831,1.29e173,0.0
832,2.09e173,0.0
833,3.37e173,0.0
834,5.46e173,0.0
835,8.84e173,0.0
836,1.43e174,0.005825042724609375
837,2.31e174,0.0
838,3.74e174,0.0
839,6.06e174,0.0010154247283935547
840,9.8e174,0.0
841,1.59e175,0.0
842,2.57e175,0.0010123252868652344
843,4.15e175,0.0
844,6.72e175,0.0
845,1.09e176,0.0
846,1.76e176,0.0
847,2.84e176,0.0
848,4.6e176,0.0
849,7.45e176,0.0
850,1.21e177,0.0
851,1.95e177,0.0
852,3.15e177,0.0
853,5.1e177,0.0
854,8.26e177,0.0
855,1.34e178,0.0
856,2.16e178,0.0
857,3.5e178,0.0
858,5.66e178,0.0
859,9.16e178,0.0
860,1.48e179,0.0
861,2.4e179,0.0
862,3.88e179,0.0
863,6.28e179,0.0
864,1.02e180,0.0
865,1.64e180,0.0
866,2.66e180,0.0
867,4.3e180,0.0
868,6.96e180,0.0
869,1.13e181,0.0
870,1.82e181,0.0
871,2.95e181,0.0
872,4.77e181,0.0
873,7.72e181,0.0005474090576171875
874,1.25e182,0.0
875,2.02e182,0.0
876,3.27e182,0.0
877,5.29e182,0.0
878,8.56e182,0.0
879,1.39e183,0.0
880,2.24e183,0.0
881,3.63e183,0.0
882,5.87e183,0.0
883,9.5e183,0.0
884,1.54e184,0.0
885,2.49e184,0.0
886,4.02e184,0.0
887,6.51e184,0.0
888,1.05e185,0.0
889,1.7e185,0.0
890,2.76e185,0.0
891,4.46e185,0.0
892,7.22e185,0.0
893,1.17e186,0.0
894,1.89e186,0.0
895,3.06e186,0.0
896,4.95e186,0.0
897,8.01e186,0.0
898,1.3e187,0.0
899,2.1e187,0.0
900,3.39e187,0.0
901,5.49e187,0.0
902,8.88e187,0.0
903,1.44e188,0.0
904,2.32e188,0.0
905,3.76e188,0.0
906,6.09e188,0.0
907,9.85e188,0.0
908,1.59e189,0.0
909,2.58e189,0.0
910,4.17e189,0.0
911,6.75e189,0.0
912,1.09e190,0.0
913,1.77e190,0.0
914,2.86e190,0.0
915,4.63e190,0.0
916,7.49e190,0.0
917,1.21e191,0.0
918,1.96e191,0.0
919,3.17e191,0.0
920,5.13e191,0.0
921,8.3e191,0.0
922,1.34e192,0.0
923,2.17e192,0.0
924,3.52e192,0.0
925,5.69e192,0.0
926,9.21e192,0.0
927,1.49e193,0.0
928,2.41e193,0.0
929,3.9e193,0.0
930,6.31e193,0.0
931,1.02e194,0.0
932,1.65e194,0.0
933,2.67e194,0.0
934,4.32e194,0.0
935,7e194,0.0
936,1.13e195,0.0
937,1.83e195,0.0
938,2.96e195,0.0
939,4.8e195,0.0
940,7.76e195,0.0
941,1.26e196,0.0
942,2.03e196,0.0
943,3.29e196,0.0
944,5.32e196,0.0
945,8.61e196,0.0
946,1.39e197,0.004178762435913086
947,2.25e197,0.0
948,3.65e197,0.0005135536193847656
949,5.9e197,0.0
950,9.55e197,0.0
951,1.54e198,0.0
952,2.5e198,0.0
953,4.04e198,0.0
954,6.54e198,0.0
955,1.06e199,0.0
956,1.71e199,0.0
957,2.77e199,0.0
958,4.48e199,0.0
959,7.26e199,0.0
960,1.17e200,0.0
961,1.9e200,0.0
962,3.07e200,0.0
963,4.97e200,0.0
964,8.05e200,0.0
965,1.3e201,0.0
966,2.11e201,0.0
967,3.41e201,0.004549980163574219
968,5.52e201,0.0
969,8.92e201,0.0
970,1.44e202,0.0
971,2.34e202,0.0
972,3.78e202,0.0
973,6.12e202,0.0
974,9.9e202,0.0
975,1.6e203,0.0
976,2.59e203,0.0
977,4.19e203,0.0
978,6.78e203,0.0
979,1.1e204,0.0
980,1.78e204,0.0
981,2.87e204,0.0
982,4.65e204,0.0
983,7.52e204,0.0
984,1.22e205,0.0
985,1.97e205,0.0
986,3.19e205,0.005032777786254883
987,5.16e205,0.0
988,8.34e205,0.0
989,1.35e206,0.0
990,2.18e206,0.0
991,3.53e206,0.001013040542602539
992,5.72e206,0.0
993,9.25e206,0.0005619525909423828
994,1.5e207,0.0
995,2.42e207,0.0
996,3.92e207,0.0
997,6.34e207,0.0
998,1.03e208,0.0
999,1.66e208,0.0
1000,2.69e208,0.0
1001,4.35e208,0.0
1002,7.03e208,0.0
1003,1.14e209,0.0
1004,1.84e209,0.0
1005,2.98e209,0.0
1006,4.82e209,0.0
1007,7.8e209,0.0
1008,1.26e210,0.0
1009,2.04e210,0.0
1010,3.3e210,0.0
1011,5.35e210,0.0
1012,8.65e210,0.0
1013,1.4e211,0.0
1014,2.26e211,0.0
1015,3.66e211,0.0
1016,5.93e211,0.0
1017,9.59e211,0.0
1018,1.55e212,0.0
1019,2.51e212,0.0
1020,4.06e212,0.0
1021,6.58e212,0.0
1022,1.06e213,0.0
1023,1.72e213,0.0
1024,2.79e213,0.0
1025,4.51e213,0.0
1026,7.29e213,0.0
1027,1.18e214,0.0
1028,1.91e214,0.0
1029,3.09e214,0.0
1030,5e214,0.0
1031,8.09e214,0.0
1032,1.31e215,0.0
1033,2.12e215,0.0
1034,3.43e215,0.0
1035,5.54e215,0.0
1036,8.97e215,0.0
1037,1.45e216,0.0
1038,2.35e216,0.0
1039,3.8e216,0.0
1040,6.15e216,0.0
1041,9.95e216,0.0
1042,1.61e217,0.0
1043,2.6e217,0.0
1044,4.21e217,0.0
1045,6.82e217,0.0
1046,1.1e218,0.0
1047,1.78e218,0.0
1048,2.89e218,0.0
1049,4.67e218,0.0
1050,7.56e218,0.0
1051,1.22e219,0.0
1052,1.98e219,0.0
1053,3.2e219,0.0
1054,5.18e219,0.0
1055,8.38e219,0.0
1056,1.36e220,0.0
1057,2.2e220,0.0
1058,3.55e220,0.0
1059,5.75e220,0.0
1060,9.3e220,0.0
1061,1.5e221,0.0009257793426513672
1062,2.43e221,0.0
1063,3.94e221,0.0
1064,6.37e221,0.0
1065,1.03e222,0.0
1066,1.67e222,0.0
1067,2.7e222,0.0
1068,4.37e222,0.0
1069,7.07e222,0.0
1070,1.14e223,0.0
1071,1.85e223,0.0
1072,2.99e223,0.0
1073,4.84e223,0.0
1074,7.84e223,0.0
1075,1.27e224,0.0
1076,2.05e224,0.0
1077,3.32e224,0.0
1078,5.37e224,0.0
1079,8.69e224,0.0
1080,1.41e225,0.0
1081,2.28e225,0.0
1082,3.68e225,0.0
1083,5.96e225,0.0
1084,9.64e225,0.0
1085,1.56e226,0.0
1086,2.52e226,0.0
1087,4.08e226,0.0
1088,6.61e226,0.0
1089,1.07e227,0.0
1090,1.73e227,0.0
1091,2.8e227,0.0020165443420410156
1092,4.53e227,0.0
1093,7.33e227,0.0
1094,1.19e228,0.0
1095,1.92e228,0.0010123252868652344
1096,3.1e228,0.0
1097,5.02e228,0.0
1098,8.13e228,0.0
1099,1.32e229,0.0
1100,2.13e229,0.0
1101,3.44e229,0.0
1102,5.57e229,0.0
1103,9.01e229,0.0021886825561523438
1104,1.46e230,0.0
1105,2.36e230,0.0
1106,3.82e230,0.0
1107,6.18e230,0.0
1108,10e230,0.0
1109,1.62e231,0.0
1110,2.62e231,0.0
1111,4.23e231,0.0
1112,6.85e231,0.0
1113,1.11e232,0.0
1114,1.79e232,0.0
1115,2.9e232,0.0
1116,4.7e232,0.0
1117,7.6e232,0.0
1118,1.23e233,0.0
1119,1.99e233,0.0
1120,3.22e233,0.0
1121,5.21e233,0.0
1122,8.43e233,0.0
1123,1.36e234,0.0
1124,2.21e234,0.0
1125,3.57e234,0.0
1126,5.78e234,0.0
1127,9.35e234,0.0
1128,1.51e235,0.0
1129,2.45e235,0.0
1130,3.96e235,0.0005133152008056641
1131,6.41e235,0.0
1132,1.04e236,0.0
1133,1.68e236,0.0
1134,2.71e236,0.0
1135,4.39e236,0.0
1136,7.1e236,0.0
1137,1.15e237,0.0
1138,1.86e237,0.0
1139,3.01e237,0.0
1140,4.87e237,0.0
1141,7.88e237,0.0
1142,1.27e238,0.0
